lp_id,lp_name,country,cable_count
pontianak-indonesia,"Pontianak, Indonesia",Indonesia,3
lome-togo,"Lome, Togo",Togo,3
tual-indonesia,"Tual, Indonesia",Indonesia,3
ponta-delgada-portugal,"Ponta Delgada, Portugal",Portugal,3
bilbao-spain,"Bilbao, Spain",Spain,3
maldonado-uruguay,"Maldonado, Uruguay",Uruguay,3
le-lamentin-martinique,"Le Lamentin, Martinique",Martinique,3
valdez-ak-united-states,"Valdez, AK, United States",United States,3
visby-sweden,"Visby, Sweden",Sweden,3
valencia-spain,"Valencia, Spain",Spain,3
melbourne-vic-australia,"Melbourne, VIC, Australia",Australia,3
pohnpei-micronesia,"Pohnpei, Micronesia",Micronesia,3
ostend-belgium,"Ostend, Belgium",Belgium,3
annaba-algeria,"Annaba, Algeria",Algeria,3
magens-bay-vi-united-states,"Magen’s Bay, VI, United States",United States,3
longyearbyen-svalbard-norway,"Longyearbyen, Svalbard, Norway",Norway,3
pago-pago-american-samoa,"Pago Pago, American Samoa",American Samoa,3
tungku-brunei,"Tungku, Brunei",Brunei,3
beirut-lebanon,"Beirut, Lebanon",Lebanon,3
baie-jacotet-mauritius,"Baie Jacotet, Mauritius",Mauritius,3
melkbosstrand-south-africa,"Melkbosstrand, South Africa",South Africa,3
vero-beach-fl-united-states,"Vero Beach, FL, United States",United States,3
pinamalayan-philippines,"Pinamalayan, Philippines",Philippines,3
baler-philippines,"Baler, Philippines",Philippines,3
kulhudhufushi-maldives,"Kulhudhufushi, Maldives",Maldives,3
ormoc-philippines,"Ormoc, Philippines",Philippines,3
auckland-new-zealand,"Auckland, New Zealand",New Zealand,3
tripoli-libya,"Tripoli, Libya",Libya,3
ocho-rios-jamaica,"Ocho Rios, Jamaica",Jamaica,3
manokwari-indonesia,"Manokwari, Indonesia",Indonesia,3
lihue-hi-united-states,"Lihue, HI, United States",United States,3
bod-norway,"Bodø, Norway",Norway,3
matara-sri-lanka,"Matara, Sri Lanka",Sri Lanka,3
basseterre-saint-kitts-and-nevis,"Basseterre, Saint Kitts and Nevis",Saint Kitts and Nevis,3
banjarmasin-indonesia,"Banjarmasin, Indonesia",Indonesia,3
kribi-cameroon,"Kribi, Cameroon",Cameroon,3
arica-chile,"Arica, Chile",Chile,3
bata-equatorial-guinea,"Bata, Equatorial Guinea",Equatorial Guinea,3
balikpapan-indonesia,"Balikpapan, Indonesia",Indonesia,3
waingapu-indonesia,"Waingapu, Indonesia",Indonesia,3
anyer-indonesia,"Anyer, Indonesia",Indonesia,3
half-moon-bay-cayman-islands,"Half Moon Bay, Cayman Islands",Cayman Islands,2
san-sebastian-de-la-gomera-canary-islands-spain,"San Sebastian de la Gomera, Canary Islands, Spain",Spain,2
sanana-indonesia,"Sanana, Indonesia",Indonesia,2
panama-city-panama,"Panama City, Panama",Panama,2
guantanamo-bay-cuba,"Guantanamo Bay, Cuba",Cuba,2
sao-tome-sao-tome-and-principe,"Sao Tome, Sao Tome and Principe",Sao Tome and Principe,2
nukunonu-tokelau,"Nukunonu, Tokelau",Tokelau,2
sangano-angola,"Sangano, Angola",Angola,2
lucena-philippines,"Lucena, Philippines",Philippines,2
paddington-nsw-australia,"Paddington, NSW, Australia",Australia,2
lingang-china,"Lingang, China",China,2
natadola-fiji,"Natadola, Fiji",Fiji,2
savona-italy,"Savona, Italy",Italy,2
luna-philippines,"Luna, Philippines",Philippines,2
liloan-philippines,"Liloan, Philippines",Philippines,2
halifax-ns-canada,"Halifax, NS, Canada",Canada,2
sanur-indonesia,"Sanur, Indonesia",Indonesia,2
great-bay-virgin-islands-u-s-,"Great Bay, Virgin Islands (U.S.)",Virgin Islands (U.S.),2
muncar-indonesia,"Muncar, Indonesia",Indonesia,2
santarm-brazil,"Santarém, Brazil",Brazil,2
santander-spain,"Santander, Spain",Spain,2
palermo-italy,"Palermo, Italy",Italy,2
lingshui-china,"Lingshui, China",China,2
lokalahti-finland,"Lokalahti, Finland",Finland,2
greve-de-lecq-jersey,"Greve de Lecq, Jersey",Jersey,2
muanda-congo-dem-rep-,"Muanda, Congo, Dem. Rep.","Congo, Dem. Rep.",2
graciosa-portugal,"Graciosa, Portugal",Portugal,2
savusavu-fiji,"Savusavu, Fiji",Fiji,2
naxos-greece,"Naxos, Greece",Greece,2
lista-norway,"Lista, Norway",Norway,2
sandy-point-bahamas,"Sandy Point, Bahamas",Bahamas,2
linosa-italy,"Linosa, Italy",Italy,2
haifa-israel,"Haifa, Israel",Israel,2
north-miami-beach-fl-united-states,"North Miami Beach, FL, United States",United States,2
lyngsa-denmark,"Lyngsa, Denmark",Denmark,2
lynn-ma-united-states,"Lynn, MA, United States",United States,2
eureka-ca-united-states,"Eureka, CA, United States",United States,2
espoo-finland,"Espoo, Finland",Finland,2
oran-algeria,"Oran, Algeria",Algeria,2
manacapuru-brazil,"Manacapuru, Brazil",Brazil,2
manasquan-nj-united-states,"Manasquan, NJ, United States",United States,2
ermoupoli-greece,"Ermoupoli, Greece",Greece,2
ende-indonesia,"Ende, Indonesia",Indonesia,2
el-segundo-ca-united-states,"El Segundo, CA, United States",United States,2
manaus-brazil,"Manaus, Brazil",Brazil,2
el-goro-canary-islands-spain,"El Goro, Canary Islands, Spain",Spain,2
eight-mile-rock-bahamas,"Eight-Mile Rock, Bahamas",Bahamas,2
eemshaven-netherlands,"Eemshaven, Netherlands",Netherlands,2
mandurah-wa-australia,"Mandurah, WA, Australia",Australia,2
duynefontein-south-africa,"Duynefontein, South Africa",South Africa,2
manele-bay-hi-united-states,"Manele Bay, HI, United States",United States,2
nahodka-russia,"Nahodka, Russia",Russia,2
durres-albania,"Durres, Albania",Albania,2
olbia-italy,"Olbia, Italy",Italy,2
dumpton-gap-united-kingdom,"Dumpton Gap, United Kingdom",United Kingdom,2
maroochydore-qld-australia,"Maroochydore, QLD, Australia",Australia,2
nyali-kenya,"Nyali, Kenya",Kenya,2
shirley-ny-united-states,"Shirley, NY, United States",United States,2
male-maldives,"Male, Maldives",Maldives,2
faial-portugal,"Faial, Portugal",Portugal,2
oxford-falls-nsw-australia,"Oxford Falls, NSW, Australia",Australia,2
schoelcher-martinique,"Schoelcher, Martinique",Martinique,2
maafushi-maldives,"Maafushi, Maldives",Maldives,2
seattle-wa-united-states,"Seattle, WA, United States",United States,2
maasin-philippines,"Maasin, Philippines",Philippines,2
muscat-oman,"Muscat, Oman",Oman,2
san-diego-ca-united-states,"San Diego, CA, United States",United States,2
fonte-boa-brazil,"Fonte Boa, Brazil",Brazil,2
seman-albania,"Seman, Albania",Albania,2
macap-brazil,"Macapá, Brazil",Brazil,2
madang-papua-new-guinea,"Madang, Papua New Guinea",Papua New Guinea,2
nacala-mozambique,"Nacala, Mozambique",Mozambique,2
ses-covetes-spain,"Ses Covetes, Spain",Spain,2
mutsamudu-comoros,"Mutsamudu, Comoros",Comoros,2
mahajanga-madagascar,"Mahajanga, Madagascar",Madagascar,2
masbate-city-philippines,"Masbate City, Philippines",Philippines,2
oshima-japan,"Oshima, Japan",Japan,2
fangshan-taiwan,"Fangshan, Taiwan",Taiwan,2
fakfak-indonesia,"Fakfak, Indonesia",Indonesia,2
malabo-equatorial-guinea,"Malabo, Equatorial Guinea",Equatorial Guinea,2
shiraho-japan,"Shiraho, Japan",Japan,2
fort-amador-panama,"Fort Amador, Panama",Panama,2
pasacao-philippines,"Pasacao, Philippines",Philippines,2
san-carlos-philippines,"San Carlos, Philippines",Philippines,2
nuuk-greenland,"Nuuk, Greenland",Greenland,2
kaweni-mayotte,"Kaweni, Mayotte",Mayotte,2
puerto-del-rosario-canary-islands-spain,"Puerto del Rosario, Canary Islands, Spain",Spain,2
nome-ak-united-states,"Nome, AK, United States",United States,2
puerto-montt-chile,"Puerto Montt, Chile",Chile,2
pointe-noire-congo-rep-,"Pointe-Noire, Congo, Rep.","Congo, Rep.",2
puerto-san-jose-guatemala,"Puerto San Jose, Guatemala",Guatemala,2
misuratah-libya,"Misuratah, Libya",Libya,2
ngwe-saung-myanmar,"Ngwe Saung, Myanmar",Myanmar,2
kangiqsujuaq-qc-canada,"Kangiqsujuaq, QC, Canada",Canada,2
mellieha-malta,"Mellieha, Malta",Malta,2
kalianda-indonesia,"Kalianda, Indonesia",Indonesia,2
kelibia-tunisia,"Kelibia, Tunisia",Tunisia,2
miyake-japan,"Miyake, Japan",Japan,2
point-salines-grenada,"Point Salines, Grenada",Grenada,2
punto-fijo-venezuela,"Punto Fijo, Venezuela",Venezuela,2
puvirnituq-qc-canada,"Puvirnituq, QC, Canada",Canada,2
